"","exp_beta","weibull_beta","cox_beta","dist","gamma","n"
"1046",-0.310361701878917,-0.434989416065668,-0.414335578955492,"weibull",2,100
"1047",-0.50636630159631,-0.713615463863608,-0.70532475152593,"weibull",2,100
"1048",-0.310754719302062,-0.48596103966754,-0.487506417387453,"weibull",2,100
"1049",-0.669094525003253,-0.885152972108601,-0.863503550792645,"weibull",2,100
"1050",-0.285058106303844,-0.396381283368939,-0.360582469823801,"weibull",2,100
"1051",-0.434228383299262,-0.633034034917805,-0.609245960540291,"weibull",2,100
"1052",-0.13391699193592,-0.198326764810686,-0.216188353021464,"weibull",2,100
"1053",-0.273653971903252,-0.345343901111402,-0.334051708542106,"weibull",2,100
"1054",-0.2906577574287,-0.456305798603136,-0.444476858186563,"weibull",2,100
"1055",-0.744223346387698,-1.07121712085724,-1.06173292245952,"weibull",2,100
"1056",-0.124708901975312,-0.227627633256647,-0.209858334338835,"weibull",2,100
"1057",-0.310454330781944,-0.424849891026469,-0.405963116986952,"weibull",2,100
"1058",-0.454375258654202,-0.58404530160644,-0.549305430609237,"weibull",2,100
"1059",-0.4719599364622,-0.652442987903936,-0.631194570053358,"weibull",2,100
"1060",-0.417776050857639,-0.634829356949997,-0.642941408908279,"weibull",2,100
"1061",-0.534198988784293,-0.829058651210069,-0.767386138601192,"weibull",2,100
"1062",-0.354746384532696,-0.500814055593343,-0.488664564153024,"weibull",2,100
"1063",-0.399308187163323,-0.576488511069894,-0.565095386508277,"weibull",2,100
"1064",-0.237242830912111,-0.306951156360384,-0.315348432519405,"weibull",2,100
"1065",-0.25432218425937,-0.368674463518437,-0.352998812593243,"weibull",2,100
"1066",-0.202207429920615,-0.342966523367053,-0.347966648493654,"weibull",2,100
"1067",-0.177298617814003,-0.237829538726237,-0.254850756889837,"weibull",2,100
"1068",-0.316335380771264,-0.524577955984099,-0.534336842598435,"weibull",2,100
"1069",-0.449043120690811,-0.583926656154954,-0.551694518689679,"weibull",2,100
"1070",-0.209078520724246,-0.322376393520738,-0.285695776306767,"weibull",2,100
"1071",-0.452283056908888,-0.670186385431011,-0.649173852649809,"weibull",2,100
"1072",-0.217490399545614,-0.295825285709749,-0.302244028813077,"weibull",2,100
"1073",-0.389011529444084,-0.539294019401985,-0.532757354127121,"weibull",2,100
"1074",-0.296718827504091,-0.402600337754316,-0.390420390751028,"weibull",2,100
"1075",-0.301730784255599,-0.441195676687782,-0.421716937056535,"weibull",2,100
"1076",-0.524266037612729,-0.704823653089521,-0.703853709834034,"weibull",2,100
