"","exp_beta","weibull_beta","cox_beta","dist","gamma","n"
"61",-0.760866044754022,-0.671819156988837,-0.621618070362416,"piecewise",NA,100
"62",-0.31731553610758,-0.296097766025359,-0.257243517459912,"piecewise",NA,100
"63",-0.226508305649158,-0.183639355836411,-0.188639965608027,"piecewise",NA,100
"64",-0.378818709037932,-0.371640436210983,-0.422016758051869,"piecewise",NA,100
"65",-0.182188473201781,-0.163275604768041,-0.134567476144014,"piecewise",NA,100
"66",-0.929392538157792,-0.907268113397954,-0.869707644056001,"piecewise",NA,100
"67",-0.709877653887798,-0.63718172795032,-0.613553887311025,"piecewise",NA,100
"68",-1.15196987407014,-1.10113655695118,-1.04712582400499,"piecewise",NA,100
"69",-0.376268430358884,-0.322945844256246,-0.374217983135045,"piecewise",NA,100
"70",-0.853796086403136,-0.835168980204225,-0.726788262336546,"piecewise",NA,100
"71",-0.745640499625807,-0.711121902080157,-0.70060534744092,"piecewise",NA,100
"72",-0.801443702273531,-0.717281470427579,-0.641455991808273,"piecewise",NA,100
"73",-0.264184890238534,-0.262755934088461,-0.267347676708622,"piecewise",NA,100
"74",-0.561328807616982,-0.558628631781237,-0.589950816651126,"piecewise",NA,100
"75",-0.815730489401052,-0.764438442197882,-0.63245599213589,"piecewise",NA,100
"76",-0.472443380879005,-0.48842757231174,-0.413633667916626,"piecewise",NA,100
"77",-0.681347210122224,-0.613173718581711,-0.633697528841985,"piecewise",NA,100
"78",-0.248697849125729,-0.244908834792831,-0.190174064772026,"piecewise",NA,100
"79",-0.831923174751371,-0.749198752219089,-0.72381341925664,"piecewise",NA,100
"80",-0.699215722725003,-0.594752032197435,-0.559704372291124,"piecewise",NA,100
"81",-0.880642154552248,-0.793315725991326,-0.7476777639709,"piecewise",NA,100
"82",-0.335688573606243,-0.309548350224606,-0.29510629291969,"piecewise",NA,100
"83",-0.453710527621863,-0.410307724763755,-0.453193439476587,"piecewise",NA,100
"84",-0.265374875257227,-0.263660837496618,-0.223216204102432,"piecewise",NA,100
"85",-0.686757752203275,-0.676058895848759,-0.711444496405871,"piecewise",NA,100
"86",-0.59912358903071,-0.568660774581306,-0.581440156579279,"piecewise",NA,100
"87",-0.260874812110145,-0.195039267564081,-0.208060513784364,"piecewise",NA,100
"88",-0.729101006433795,-0.664394724758678,-0.64583626488864,"piecewise",NA,100
"89",-0.440605318853193,-0.423322734403688,-0.399159503359789,"piecewise",NA,100
"90",-0.455701198029247,-0.421272019855983,-0.396306752180815,"piecewise",NA,100
"91",-0.533152012405003,-0.456076442619359,-0.447345354870045,"piecewise",NA,100
"92",-0.637291272952894,-0.609354787219035,-0.61364541515925,"piecewise",NA,100
"93",-0.183736783129745,-0.173543186360074,-0.191205850857956,"piecewise",NA,100
"94",-0.992086887109223,-0.872719643236917,-0.876071211608896,"piecewise",NA,100
"95",-0.356593492949959,-0.274880598805648,-0.295642665675771,"piecewise",NA,100
"96",-0.362887808113577,-0.304029491535017,-0.255617434775263,"piecewise",NA,100
"97",0.0446895876630579,0.0565823889624157,0.0431758139098485,"piecewise",NA,100
"98",-0.854425116960508,-0.700004626401998,-0.696929891458843,"piecewise",NA,100
"99",-0.674117499562878,-0.618302343842534,-0.488069619597499,"piecewise",NA,100
"100",-0.3438196824413,-0.314111063843412,-0.340468499237562,"piecewise",NA,100
"101",-0.726483044722518,-0.577602600679985,-0.634377252786109,"piecewise",NA,100
"102",-0.447776960909962,-0.359298277185237,-0.311831355835852,"piecewise",NA,100
"103",-0.702687565787206,-0.65182136812381,-0.652860545670661,"piecewise",NA,100
"104",-0.352912950627676,-0.34012086024942,-0.304303364555994,"piecewise",NA,100
"105",-0.4842715742092,-0.456479056172653,-0.465025814130782,"piecewise",NA,100
"106",-0.79198225289551,-0.711117767555878,-0.727581663309248,"piecewise",NA,100
"107",-0.680637387106178,-0.610108670410622,-0.572241978086566,"piecewise",NA,100
"108",-0.83231726920626,-0.712870327015866,-0.657594539244183,"piecewise",NA,100
"109",-0.509089182329155,-0.487406264846829,-0.468277277080216,"piecewise",NA,100
"110",-0.432792920084513,-0.490892288652304,-0.479522397197074,"piecewise",NA,100
"111",-0.446859269489858,-0.337701979097796,-0.228955574591994,"piecewise",NA,100
"112",-0.570328505121579,-0.545740955600224,-0.512615840031523,"piecewise",NA,100
"113",-0.0840125665286816,-0.0677811728166054,-0.0999230072435641,"piecewise",NA,100
"114",-0.581333553073158,-0.55557567742961,-0.580668438529145,"piecewise",NA,100
"115",-0.54207344147239,-0.462820528679836,-0.508749034716567,"piecewise",NA,100
"116",-0.385289081231076,-0.353050544083753,-0.3598106734716,"piecewise",NA,100
"117",-0.461965680725907,-0.427040399201209,-0.439672531560872,"piecewise",NA,100
"118",-0.675090551602027,-0.623028985194985,-0.557483165142436,"piecewise",NA,100
"119",-0.840424679579131,-0.79794458750555,-0.803676550491011,"piecewise",NA,100
"120",-0.334718389803605,-0.32543080275289,-0.345196558191027,"piecewise",NA,100
"121",-0.146190802180095,-0.157106472456387,-0.152104830797738,"piecewise",NA,100
"122",-1.1002636307527,-1.06010740945355,-1.06412289663484,"piecewise",NA,100
"123",-0.44005080352604,-0.400434023726704,-0.347036076728179,"piecewise",NA,100
"124",-0.77080198544006,-0.655124958131128,-0.556376277768818,"piecewise",NA,100
"125",-0.308437158657664,-0.261015822896672,-0.288274336492825,"piecewise",NA,100
"126",-0.84858525903942,-0.815911060380142,-0.731755182620524,"piecewise",NA,100
"127",-0.49285698445497,-0.446777883391039,-0.362787220498834,"piecewise",NA,100
"128",-0.510461127250248,-0.515005361041816,-0.455931855141948,"piecewise",NA,100
"129",-0.296532564789624,-0.262617741205331,-0.233548418414832,"piecewise",NA,100
"130",0.0436858777062908,0.0549255082565392,-0.00524937668355413,"piecewise",NA,100
"131",-0.718712294959479,-0.608453422268061,-0.688120717624287,"piecewise",NA,100
"132",-0.343856181230228,-0.305720820353957,-0.304083375482509,"piecewise",NA,100
"133",-0.31210919033249,-0.295100596827136,-0.264930108331345,"piecewise",NA,100
"134",-0.31048808670035,-0.282872715498554,-0.32948921659665,"piecewise",NA,100
"135",-0.345383955087433,-0.292478953105188,-0.281291797549785,"piecewise",NA,100
