"","exp_beta","weibull_beta","cox_beta","dist","gamma","n"
"481",-0.396099105980757,-0.504485092370651,-0.534691168631236,"lnorm",NA,100
"482",-0.478621940502217,-0.599499536784737,-0.560157220961103,"lnorm",NA,100
"483",-0.51290747729636,-0.628937894884596,-0.328666765224073,"lnorm",NA,100
"484",-0.452353669526829,-0.60063431449576,-0.271645001315535,"lnorm",NA,100
"485",-0.455982413519375,-0.548925727608956,-0.565752474289876,"lnorm",NA,100
"486",-0.428573720383363,-0.511586861912716,-0.838311714203296,"lnorm",NA,100
"487",-0.518408868985032,-0.641508383381977,-0.207329656484078,"lnorm",NA,100
"488",-0.554961804443311,-0.690190165604267,-0.307609973283784,"lnorm",NA,100
"489",-0.546976729975622,-0.640093509823043,-0.463256719498698,"lnorm",NA,100
"490",-0.529880443174361,-0.654764517473635,-0.502501652739792,"lnorm",NA,100
"491",-0.474027369293813,-0.601250896042982,-0.603576219707455,"lnorm",NA,100
"492",-0.640885231920124,-0.733359398774485,-0.243153351642796,"lnorm",NA,100
"493",-0.532269715681203,-0.638033185580657,-0.201214555812549,"lnorm",NA,100
"494",-0.442976757511489,-0.560778035303154,-0.612340658767558,"lnorm",NA,100
"495",-0.453651843318584,-0.554911483417863,-0.443371101083941,"lnorm",NA,100
"496",-0.44291374210511,-0.517209790681533,-0.491625761197735,"lnorm",NA,100
"497",-0.515353175484972,-0.598460549185428,-0.501857425496058,"lnorm",NA,100
"498",-0.360644586643319,-0.431688542221016,-0.86053604023713,"lnorm",NA,100
"499",-0.584599811849385,-0.664795121235207,-0.44273696791435,"lnorm",NA,100
"500",-0.454656318948162,-0.578398761601432,-0.708485760975063,"lnorm",NA,100
"501",-0.481482861251858,-0.590950963269685,-0.511707127123819,"lnorm",NA,100
"502",-0.608611668173654,-0.7698872588076,-0.0411545146059805,"lnorm",NA,100
"503",-0.67109075389593,-0.758875854397198,-0.25848740926632,"lnorm",NA,100
"504",-0.644159740085872,-0.753401775059935,-0.262905637957899,"lnorm",NA,100
"505",-0.477943661764825,-0.592189391312831,-0.367742273520178,"lnorm",NA,100
"506",-0.557300003216085,-0.668146924804276,-0.66965803202828,"lnorm",NA,100
"507",-0.532137392917235,-0.622190798302178,-0.488168911152396,"lnorm",NA,100
"508",-0.506903691225608,-0.620825552421007,-0.406981084728062,"lnorm",NA,100
"509",-0.544736169692837,-0.671487276117301,-0.538509408759184,"lnorm",NA,100
"510",-0.470835470235624,-0.553917998406602,-0.484633730145266,"lnorm",NA,100
"511",-0.463748343836482,-0.569320238010565,-0.553420660557018,"lnorm",NA,100
"512",-0.494582024211151,-0.583774791105769,-0.27530403811232,"lnorm",NA,100
"513",-0.50266595710862,-0.566000932712792,-0.753733489236368,"lnorm",NA,100
"514",-0.45587739884622,-0.542186108865719,-0.66934474498321,"lnorm",NA,100
"515",-0.480963211492395,-0.579892037158056,-0.579042837303566,"lnorm",NA,100
"516",-0.29830236853598,-0.353571995672954,-0.619743603462977,"lnorm",NA,100
"517",-0.46836676345496,-0.56826404925276,-0.490633289936891,"lnorm",NA,100
"518",-0.478828139218803,-0.578732790997559,-0.473984516272001,"lnorm",NA,100
